manufacturer;product;HP-Type;compressor type;refrigerant;source composition;load composition;pressure source;pressure load;compute source;flow type source;flow type load
eltron_stiebel;WPL_10;w-w;scroll;R410a;INCOMP::AN[0.2];water;301325;201325;0;kg/s;kg/s
HP-Data;;;;;;;;;;;
Time Stamp;m_s;m_l;T_s;T_l;q_source;q_load;w_el;comment;;;
;0.46;0.31;-5;35;;8.0725;;;;;
;0.46;0.31;-4;35;;8.3332;;;;;
;0.46;0.31;-3;35;;8.5969;;;;;
;0.46;0.31;-2;35;;8.8636;;;;;
;0.46;0.31;-1;35;;9.1333;;;;;
;0.46;0.31;0;35;;9.406;;;;;
;0.46;0.31;1;35;;9.6817;;;;;
;0.46;0.31;2;35;;9.9604;;;;;
;0.46;0.31;3;35;;10.2421;;;;;
;0.46;0.31;4;35;;10.5268;;;;;
;0.46;0.31;5;35;;10.8145;;;;;
;0.46;0.31;6;35;;11.1052;;;;;
;0.46;0.31;7;35;;11.3989;;;;;
;0.46;0.31;8;35;;11.6956;;;;;
;0.46;0.31;9;35;;11.9953;;;;;
;0.46;0.31;10;35;;12.298;;;;;
;0.46;0.31;11;35;;12.6037;;;;;
;0.46;0.31;12;35;;12.9124;;;;;
;0.46;0.31;13;35;;13.2241;;;;;
;0.46;0.31;14;35;;13.5388;;;;;
;0.46;0.31;15;35;;13.8565;;;;;
;0.46;0.31;16;35;;14.1772;;;;;
;0.46;0.31;17;35;;14.5009;;;;;
;0.46;0.31;18;35;;14.8276;;;;;
;0.46;0.31;19;35;;15.1573;;;;;
;0.46;0.31;20;35;;15.49;;;;;
;0.46;0.31;-5;45;;7.591;;;;;
;0.46;0.31;-4;45;;7.8432;;;;;
;0.46;0.31;-3;45;;8.0964;;;;;
;0.46;0.31;-2;45;;8.3506;;;;;
;0.46;0.31;-1;45;;8.6058;;;;;
;0.46;0.31;0;45;;8.862;;;;;
;0.46;0.31;1;45;;9.1192;;;;;
;0.46;0.31;2;45;;9.3774;;;;;
;0.46;0.31;3;45;;9.6366;;;;;
;0.46;0.31;4;45;;9.8968;;;;;
;0.46;0.31;5;45;;10.158;;;;;
;0.46;0.31;6;45;;10.4202;;;;;
;0.46;0.31;7;45;;10.6834;;;;;
;0.46;0.31;8;45;;10.9476;;;;;
;0.46;0.31;9;45;;11.2128;;;;;
;0.46;0.31;10;45;;11.479;;;;;
;0.46;0.31;11;45;;11.7462;;;;;
;0.46;0.31;12;45;;12.0144;;;;;
;0.46;0.31;13;45;;12.2836;;;;;
;0.46;0.31;14;45;;12.5538;;;;;
;0.46;0.31;15;45;;12.825;;;;;
;0.46;0.31;16;45;;13.0972;;;;;
;0.46;0.31;17;45;;13.3704;;;;;
;0.46;0.31;18;45;;13.6446;;;;;
;0.46;0.31;19;45;;13.9198;;;;;
;0.46;0.31;20;45;;14.196;;;;;
;0.46;0.31;-5;55;;7.1047;;;;;
;0.46;0.31;-4;55;;7.3658;;;;;
;0.46;0.31;-3;55;;7.6273;;;;;
;0.46;0.31;-2;55;;7.8892;;;;;
;0.46;0.31;-1;55;;8.1515;;;;;
;0.46;0.31;0;55;;8.4142;;;;;
;0.46;0.31;1;55;;8.6773;;;;;
;0.46;0.31;2;55;;8.9408;;;;;
;0.46;0.31;3;55;;9.2047;;;;;
;0.46;0.31;4;55;;9.469;;;;;
;0.46;0.31;5;55;;9.7337;;;;;
;0.46;0.31;6;55;;9.9988;;;;;
;0.46;0.31;7;55;;10.2643;;;;;
;0.46;0.31;8;55;;10.5302;;;;;
;0.46;0.31;9;55;;10.7965;;;;;
;0.46;0.31;10;55;;11.0632;;;;;
;0.46;0.31;11;55;;11.3303;;;;;
;0.46;0.31;12;55;;11.5978;;;;;
;0.46;0.31;13;55;;11.8657;;;;;
;0.46;0.31;14;55;;12.134;;;;;
;0.46;0.31;15;55;;12.4027;;;;;
;0.46;0.31;16;55;;12.6718;;;;;
;0.46;0.31;17;55;;12.9413;;;;;
;0.46;0.31;18;55;;13.2112;;;;;
;0.46;0.31;19;55;;13.4815;;;;;
;0.46;0.31;20;55;;13.7522;;;;;
;0.46;0.31;-5;65;;6.5656;;;;;
;0.46;0.31;-4;65;;6.7889;;;;;
;0.46;0.31;-3;65;;7.0158;;;;;
;0.46;0.31;-2;65;;7.2463;;;;;
;0.46;0.31;-1;65;;7.4804;;;;;
;0.46;0.31;0;65;;7.7181;;;;;
;0.46;0.31;1;65;;7.9594;;;;;
;0.46;0.31;2;65;;8.2043;;;;;
;0.46;0.31;3;65;;8.4528;;;;;
;0.46;0.31;4;65;;8.7049;;;;;
;0.46;0.31;5;65;;8.9606;;;;;
;0.46;0.31;6;65;;9.2199;;;;;
;0.46;0.31;7;65;;9.4828;;;;;
;0.46;0.31;8;65;;9.7493;;;;;
;0.46;0.31;9;65;;10.0194;;;;;
;0.46;0.31;10;65;;10.2931;;;;;
;0.46;0.31;11;65;;10.5704;;;;;
;0.46;0.31;12;65;;10.8513;;;;;
;0.46;0.31;13;65;;11.1358;;;;;
;0.46;0.31;14;65;;11.4239;;;;;
;0.46;0.31;15;65;;11.7156;;;;;
;0.46;0.31;16;65;;12.0109;;;;;
;0.46;0.31;17;65;;12.3098;;;;;
;0.46;0.31;18;65;;12.6123;;;;;
;0.46;0.31;19;65;;12.9184;;;;;
;0.46;0.31;20;65;;13.2281;;;;;
