manufacturer;product;HP-Type;compressor type;refrigerant;source composition;load composition;pressure source;pressure load;compute source;flow type source;flow type load
eltron_stiebel;WPL_10;w-w;scroll;R410a;INCOMP::AN[0.2];water;301325;201325;0;kg/s;kg/s
HP-Data;;;;;;;;;;;
Time Stamp;m_s;m_l;T_s;T_l;q_source;q_load;w_el;comment;;;
;0.46;0.31;-5;35;;8.5725;;;;;
;0.46;0.31;-4;35;;8.8332;;;;;
;0.46;0.31;-3;35;;9.0969;;;;;
;0.46;0.31;-2;35;;9.3636;;;;;
;0.46;0.31;-1;35;;9.6333;;;;;
;0.46;0.31;0;35;;9.906;;;;;
;0.46;0.31;1;35;;10.1817;;;;;
;0.46;0.31;2;35;;10.4604;;;;;
;0.46;0.31;3;35;;10.7421;;;;;
;0.46;0.31;4;35;;11.0268;;;;;
;0.46;0.31;5;35;;11.3145;;;;;
;0.46;0.31;6;35;;11.6052;;;;;
;0.46;0.31;7;35;;11.8989;;;;;
;0.46;0.31;8;35;;12.1956;;;;;
;0.46;0.31;9;35;;12.4953;;;;;
;0.46;0.31;10;35;;12.798;;;;;
;0.46;0.31;11;35;;13.1037;;;;;
;0.46;0.31;12;35;;13.4124;;;;;
;0.46;0.31;13;35;;13.7241;;;;;
;0.46;0.31;14;35;;14.0388;;;;;
;0.46;0.31;15;35;;14.3565;;;;;
;0.46;0.31;16;35;;14.6772;;;;;
;0.46;0.31;17;35;;15.0009;;;;;
;0.46;0.31;18;35;;15.3276;;;;;
;0.46;0.31;19;35;;15.6573;;;;;
;0.46;0.31;20;35;;15.99;;;;;
;0.46;0.31;-5;45;;8.091;;;;;
;0.46;0.31;-4;45;;8.3432;;;;;
;0.46;0.31;-3;45;;8.5964;;;;;
;0.46;0.31;-2;45;;8.8506;;;;;
;0.46;0.31;-1;45;;9.1058;;;;;
;0.46;0.31;0;45;;9.362;;;;;
;0.46;0.31;1;45;;9.6192;;;;;
;0.46;0.31;2;45;;9.8774;;;;;
;0.46;0.31;3;45;;10.1366;;;;;
;0.46;0.31;4;45;;10.3968;;;;;
;0.46;0.31;5;45;;10.658;;;;;
;0.46;0.31;6;45;;10.9202;;;;;
;0.46;0.31;7;45;;11.1834;;;;;
;0.46;0.31;8;45;;11.4476;;;;;
;0.46;0.31;9;45;;11.7128;;;;;
;0.46;0.31;10;45;;11.979;;;;;
;0.46;0.31;11;45;;12.2462;;;;;
;0.46;0.31;12;45;;12.5144;;;;;
;0.46;0.31;13;45;;12.7836;;;;;
;0.46;0.31;14;45;;13.0538;;;;;
;0.46;0.31;15;45;;13.325;;;;;
;0.46;0.31;16;45;;13.5972;;;;;
;0.46;0.31;17;45;;13.8704;;;;;
;0.46;0.31;18;45;;14.1446;;;;;
;0.46;0.31;19;45;;14.4198;;;;;
;0.46;0.31;20;45;;14.696;;;;;
;0.46;0.31;-5;55;;7.6047;;;;;
;0.46;0.31;-4;55;;7.8658;;;;;
;0.46;0.31;-3;55;;8.1273;;;;;
;0.46;0.31;-2;55;;8.3892;;;;;
;0.46;0.31;-1;55;;8.6515;;;;;
;0.46;0.31;0;55;;8.9142;;;;;
;0.46;0.31;1;55;;9.1773;;;;;
;0.46;0.31;2;55;;9.4408;;;;;
;0.46;0.31;3;55;;9.7047;;;;;
;0.46;0.31;4;55;;9.969;;;;;
;0.46;0.31;5;55;;10.2337;;;;;
;0.46;0.31;6;55;;10.4988;;;;;
;0.46;0.31;7;55;;10.7643;;;;;
;0.46;0.31;8;55;;11.0302;;;;;
;0.46;0.31;9;55;;11.2965;;;;;
;0.46;0.31;10;55;;11.5632;;;;;
;0.46;0.31;11;55;;11.8303;;;;;
;0.46;0.31;12;55;;12.0978;;;;;
;0.46;0.31;13;55;;12.3657;;;;;
;0.46;0.31;14;55;;12.634;;;;;
;0.46;0.31;15;55;;12.9027;;;;;
;0.46;0.31;16;55;;13.1718;;;;;
;0.46;0.31;17;55;;13.4413;;;;;
;0.46;0.31;18;55;;13.7112;;;;;
;0.46;0.31;19;55;;13.9815;;;;;
;0.46;0.31;20;55;;14.2522;;;;;
;0.46;0.31;-5;65;;7.0656;;;;;
;0.46;0.31;-4;65;;7.2889;;;;;
;0.46;0.31;-3;65;;7.5158;;;;;
;0.46;0.31;-2;65;;7.7463;;;;;
;0.46;0.31;-1;65;;7.9804;;;;;
;0.46;0.31;0;65;;8.2181;;;;;
;0.46;0.31;1;65;;8.4594;;;;;
;0.46;0.31;2;65;;8.7043;;;;;
;0.46;0.31;3;65;;8.9528;;;;;
;0.46;0.31;4;65;;9.2049;;;;;
;0.46;0.31;5;65;;9.4606;;;;;
;0.46;0.31;6;65;;9.7199;;;;;
;0.46;0.31;7;65;;9.9828;;;;;
;0.46;0.31;8;65;;10.2493;;;;;
;0.46;0.31;9;65;;10.5194;;;;;
;0.46;0.31;10;65;;10.7931;;;;;
;0.46;0.31;11;65;;11.0704;;;;;
;0.46;0.31;12;65;;11.3513;;;;;
;0.46;0.31;13;65;;11.6358;;;;;
;0.46;0.31;14;65;;11.9239;;;;;
;0.46;0.31;15;65;;12.2156;;;;;
;0.46;0.31;16;65;;12.5109;;;;;
;0.46;0.31;17;65;;12.8098;;;;;
;0.46;0.31;18;65;;13.1123;;;;;
;0.46;0.31;19;65;;13.4184;;;;;
;0.46;0.31;20;65;;13.7281;;;;;
